Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 33.95      2.21     2.21     1200     0.00     0.00  shortest_path_bfs(std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&, RouteRequest const&, std::vector<int, std::allocator<int> >&)
 17.51      3.35     1.14 1941504792     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
 15.05      4.33     0.98        1     0.98     2.98  compute_congestion_pressure(std::vector<int, std::allocator<int> > const&, int, int, int)
 10.52      5.01     0.69 272646144     0.00     0.00  next_pressure_value(int, int, int, int, int, int, int, int, int)
  7.07      5.47     0.46     1200     0.00     0.00  __gnu_cxx::__enable_if<!std::__is_scalar<Point>::__value, void>::__type std::__fill_a1<Point*, Point>(Point*, Point*, Point const&)
  3.38      5.70     0.22 130804910     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::operator[](unsigned long) const
  2.92      5.88     0.19 272646144     0.00     0.00  int const& std::min<int>(int const&, int const&)
  2.92      6.08     0.19 130801308     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::operator[](unsigned long) const
  1.54      6.17     0.10 130942992     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_data() const
  1.54      6.28     0.10     1202     0.00     0.00  __gnu_cxx::__enable_if<std::__is_scalar<int>::__value, void>::__type std::__fill_a1<int*, int>(int*, int*, int const&)
  1.31      6.36     0.09 65614600     0.00     0.00  std::vector<Point, std::allocator<Point> >::operator[](unsigned long)
  0.92      6.42     0.06     1200     0.00     0.00  std::vector<Point, std::allocator<Point> >::~vector()
  0.54      6.46     0.04 130930728     0.00     0.00  std::__is_constant_evaluated()
  0.38      6.48     0.03        1     0.03     0.03  summarize_heatmap(std::vector<int, std::allocator<int> > const&, int, int)
  0.15      6.49     0.01        1     0.01     0.01  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::vector(unsigned long, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&)
  0.15      6.50     0.01                             main
  0.08      6.50     0.01     8407     0.00     0.00  std::is_constant_evaluated()
  0.08      6.51     0.01     1200     0.00     0.00  std::vector<RouteRequest, std::allocator<RouteRequest> >::operator[](unsigned long) const
  0.00      6.51     0.00   279952     0.00     0.00  std::array<int, 1201ul>::operator[](unsigned long)
  0.00      6.51     0.00   196308     0.00     0.00  __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::base() const
  0.00      6.51     0.00   135202     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00      6.51     0.00   135200     0.00     0.00  std::uniform_int_distribution<int>::param_type::a() const
  0.00      6.51     0.00   135200     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long) const
  0.00      6.51     0.00    98154     0.00     0.00  bool __gnu_cxx::operator==<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(__gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&, __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&)
  0.00      6.51     0.00    96694     0.00     0.00  __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::operator++()
